Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Jerrelle Benimon,2015,2015,F,6-8,245.0,"August 1, 1991","Georgetown, Towson University"
Anthony Bennett,2014,2017,F,6-8,245.0,"March 14, 1993",UNLV
Keith Benson,2012,2012,C,6-11,240.0,"August 13, 1988",Oakland
Ben Bentil,2017,2017,F,6-9,235.0,"March 29, 1995",Providence
Jules Bernard,2024,2024,F,6-7,210.0,"January 21, 2000",UCLA
Dairis Bertāns,2019,2019,G,6-4,200.0,"September 9, 1989",
Dāvis Bertāns,2017,2024,F,6-10,225.0,"November 12, 1992",
Patrick Beverley,2013,2024,G,6-2,180.0,"July 12, 1988",Arkansas
Saddiq Bey,2021,2024,F,6-7,215.0,"April 9, 1999",Villanova
Tyler Bey,2021,2021,F,6-7,215.0,"February 10, 1998",Colorado
Sim Bhullar,2015,2015,C,7-5,360.0,"December 2, 1992",New Mexico State
Mike Bibby,1999,2012,G,6-1,190.0,"May 13, 1978",Arizona
Andris Biedriņš,2005,2014,C,6-11,240.0,"April 2, 1986",
Chauncey Billups,1998,2014,G,6-3,202.0,"September 25, 1976",Colorado
Khem Birch,2018,2023,C-F,6-9,233.0,"September 28, 1992","Pitt, UNLV"
Jabari Bird,2018,2018,G,6-6,198.0,"July 3, 1994",California
Goga Bitadze,2020,2024,C,6-11,250.0,"July 20, 1999",
Onuralp Bitim,2024,2024,F,6-6,215.0,"March 31, 1999",
Bismack Biyombo,2012,2024,C-F,6-8,255.0,"August 28, 1992",
Nemanja Bjelica,2016,2022,F,6-10,234.0,"May 9, 1988",
Anthony Black,2024,2024,G,6-7,198.0,"January 20, 2004",Arkansas
Leaky Black,2024,2024,F,6-9,205.0,"June 14, 1999",UNC
Tarik Black,2015,2018,C-F,6-9,250.0,"November 22, 1991","Memphis, Kansas"
DeJuan Blair,2010,2016,F-C,6-7,270.0,"April 22, 1989",Pitt
Steve Blake,2004,2016,G,6-3,172.0,"February 26, 1980",Maryland
Antonio Blakeney,2018,2019,G,6-4,192.0,"October 4, 1996",LSU
Andray Blatche,2006,2014,F,6-11,235.0,"August 22, 1986",
Eric Bledsoe,2011,2022,G,6-1,214.0,"December 9, 1989",Kentucky
Keljin Blevins,2021,2022,F,6-4,200.0,"November 24, 1995","Southern Miss, Montana State"
Jaron Blossomgame,2019,2019,F,6-8,220.0,"September 16, 1993",Clemson
Vander Blue,2014,2018,G,6-4,200.0,"July 17, 1992",Marquette
Buddy Boeheim,2023,2024,G,6-6,205.0,"November 11, 1999",Syracuse
Keith Bogans,2004,2014,G-F,6-5,215.0,"May 12, 1980",Kentucky
Bogdan Bogdanović,2018,2024,G,6-5,220.0,"August 18, 1992",
Bojan Bogdanović,2015,2024,G-F,6-7,226.0,"April 18, 1989",
Andrew Bogut,2006,2019,C,7-0,260.0,"November 28, 1984",Utah
Bol Bol,2020,2024,F-C,7-3,220.0,"November 16, 1999",Oregon
Jonah Bolden,2019,2020,F,6-8,220.0,"January 2, 1996",UCLA
Marques Bolden,2020,2024,C,6-10,249.0,"April 17, 1998",Duke
Leandro Bolmaro,2022,2023,F,6-6,200.0,"September 11, 2000",
Joel Bolomboy,2017,2018,F,6-9,235.0,"January 28, 1994",Weber State
Jordan Bone,2020,2021,G,6-2,180.0,"November 5, 1997",Tennessee
Isaac Bonga,2019,2022,G,6-8,180.0,"November 8, 1999",
Matt Bonner,2005,2016,F,6-10,235.0,"April 5, 1980",Florida
Devin Booker,2016,2024,G,6-6,206.0,"October 30, 1996",Kentucky
Trevor Booker,2011,2018,F,6-8,228.0,"November 25, 1987",Clemson
Carlos Boozer,2003,2015,F-C,6-9,258.0,"November 20, 1981",Duke
Chris Bosh*,2004,2016,F-C,6-11,235.0,"March 24, 1984",Georgia Tech
Brandon Boston Jr.,2022,2024,G-F,6-7,185.0,"November 28, 2001",Kentucky
Chris Boucher,2018,2024,F,6-9,200.0,"January 11, 1993",Oregon
James Bouknight,2022,2024,G,6-5,190.0,"September 18, 2000",UConn
Jamaree Bouyea,2023,2024,G,6-2,180.0,"June 27, 1999",San Francisco
Brian Bowen,2020,2021,F,6-6,190.0,"October 2, 1998",
Ky Bowman,2020,2020,G,6-1,187.0,"June 16, 1997",Boston College
Earl Boykins,1999,2012,G,5-5,135.0,"June 2, 1976",Eastern Michigan
Craig Brackins,2011,2012,F,6-10,230.0,"October 9, 1987",Iowa State
Avery Bradley,2011,2022,G,6-3,180.0,"November 26, 1990",Texas
Tony Bradley,2018,2023,F-C,6-10,248.0,"January 8, 1998",UNC
Elton Brand,2000,2016,F-C,6-9,275.0,"March 11, 1979",Duke
Malaki Branham,2023,2024,G,6-4,180.0,"May 12, 2003",Ohio State
Jarrell Brantley,2020,2023,F,6-5,250.0,"June 7, 1996",College of Charleston
Christian Braun,2023,2024,G,6-6,218.0,"April 17, 2001",Kansas
Ignas Brazdeikis,2020,2022,F,6-6,221.0,"January 8, 1999",Michigan
Corey Brewer,2008,2020,F-G,6-9,186.0,"March 5, 1986",Florida
Ronnie Brewer,2007,2014,G-F,6-7,220.0,"March 20, 1985",Arkansas
Mikal Bridges,2019,2024,F-G,6-6,209.0,"August 30, 1996",Villanova
Miles Bridges,2019,2024,G-F,6-7,225.0,"March 21, 1998",Michigan State
Amida Brimah,2021,2021,C,6-10,230.0,"February 11, 1994",UConn
Isaiah Briscoe,2019,2019,G,6-3,215.0,"April 13, 1996",Kentucky
Oshae Brissett,2020,2024,F,6-7,210.0,"June 20, 1998",Syracuse
Izaiah Brockington,2024,2024,G,6-4,200.0,"July 12, 1999","St. Bonaventure, Penn State, Iowa State"
Jon Brockman,2010,2012,F,6-7,255.0,"March 20, 1987",Washington
Ryan Broekhoff,2019,2020,F,6-6,215.0,"August 23, 1990",Valparaiso
Malcolm Brogdon,2017,2024,G,6-4,229.0,"December 11, 1992",Virginia
Aaron Brooks,2008,2018,G,6-0,161.0,"January 14, 1985",Oregon
Armoni Brooks,2021,2024,G,6-3,195.0,"June 5, 1998",Houston
Dillon Brooks,2018,2024,F-G,6-6,225.0,"January 22, 1996",Oregon
MarShon Brooks,2012,2019,G-F,6-5,200.0,"January 26, 1989",Providence
Anthony Brown,2016,2018,F-G,6-7,210.0,"October 10, 1992",Stanford
Bobby Brown,2009,2018,G,6-2,175.0,"September 24, 1984",Cal State Fullerton
Bruce Brown,2019,2024,G-F,6-4,202.0,"August 15, 1996",Miami (FL)
Charlie Brown Jr.,2020,2024,G,6-6,199.0,"February 2, 1997",Saint Joseph's
Chaundee Brown Jr.,2022,2022,G-F,6-5,215.0,"December 4, 1998","Wake Forest, Michigan"
Derrick Brown,2010,2012,F,6-7,225.0,"September 8, 1987",Xavier
Greg Brown III,2022,2024,F,6-7,205.0,"September 1, 2001",Texas
Jabari Brown,2015,2015,G,6-4,215.0,"December 18, 1992","Oregon, Missouri"
Jaylen Brown,2017,2024,F-G,6-6,223.0,"October 24, 1996",California
Kendall Brown,2023,2024,G-F,6-8,205.0,"May 11, 2003",Baylor
Kobe Brown,2024,2024,G-F,6-7,250.0,"January 1, 2000",Missouri
Kwame Brown,2002,2013,F,6-11,270.0,"March 10, 1982",
Lorenzo Brown,2014,2019,G,6-5,189.0,"August 26, 1990",NC State
Markel Brown,2015,2018,G,6-3,190.0,"January 29, 1992",Oklahoma State
Moses Brown,2020,2024,C,7-2,245.0,"October 13, 1999",UCLA
Shannon Brown,2007,2015,G,6-4,205.0,"November 29, 1985",Michigan State
Sterling Brown,2018,2023,G,6-5,219.0,"February 10, 1995",SMU
Troy Brown Jr.,2019,2024,G-F,6-6,215.0,"July 28, 1999",Oregon
Jalen Brunson,2019,2024,G,6-2,190.0,"August 31, 1996",Villanova
Nicolás Brussino,2017,2018,G-F,6-7,195.0,"March 2, 1993",
Elijah Bryant,2021,2021,G,6-5,210.0,"April 19, 1995","Elon University, BYU"
Kobe Bryant*,1997,2016,G-F,6-6,212.0,"August 23, 1978",
Thomas Bryant,2018,2024,C,6-10,248.0,"July 31, 1997",Indiana
Shaq Buchanan,2022,2022,G,6-3,190.0,"January 30, 1997","Northeast Mississippi Community College, Murray State"
Chase Budinger,2010,2016,F,6-7,209.0,"May 22, 1988",Arizona
Kobe Bufkin,2024,2024,G,6-4,195.0,"September 21, 2003",Michigan
Reggie Bullock,2014,2024,G-F,6-6,205.0,"March 16, 1991",UNC
Trey Burke,2014,2022,G,6-0,185.0,"November 12, 1992",Michigan
Alec Burks,2012,2024,G,6-6,214.0,"July 20, 1991",Colorado
Deonte Burton,2019,2023,G,6-4,240.0,"January 31, 1994","Marquette, Iowa State"
Caron Butler,2003,2016,F,6-7,228.0,"March 13, 1980",UConn
Jared Butler,2022,2024,G,6-3,195.0,"August 25, 2000",Baylor
Jimmy Butler,2012,2024,F-G,6-7,230.0,"September 14, 1989",Marquette
John Butler,2023,2023,C,7-0,175.0,"December 4, 2002",Florida State
Rasual Butler,2003,2016,F-G,6-7,215.0,"May 23, 1979",La Salle
Dwight Buycks,2014,2018,G,6-3,190.0,"March 6, 1989",Marquette
Derrick Byars,2012,2012,F,6-7,220.0,"April 25, 1984","Virginia, Vanderbilt"
Andrew Bynum,2006,2014,C,7-0,285.0,"October 27, 1987",
Will Bynum,2006,2015,G,6-0,185.0,"January 4, 1983","Arizona, Georgia Tech"
Bruno Caboclo,2015,2021,F-C,6-9,218.0,"September 21, 1995",
Devontae Cacok,2020,2022,F,6-7,240.0,"October 8, 1996",UNC Wilmington
Jamal Cain,2023,2024,F,6-7,191.0,"March 20, 1999","Marquette, Oakland"
Nick Calathes,2014,2015,G,6-6,213.0,"February 7, 1989",Florida
José Calderón,2006,2019,G,6-3,200.0,"September 28, 1981",
Kentavious Caldwell-Pope,2014,2024,G,6-5,204.0,"February 18, 1993",Georgia
Toumani Camara,2024,2024,F,6-8,220.0,"May 8, 2000",Dayton
Marcus Camby,1997,2013,C-F,6-11,220.0,"March 22, 1974",UMass
Facundo Campazzo,2021,2023,G,5-10,195.0,"March 23, 1991",
Isaiah Canaan,2014,2019,G,6-0,201.0,"May 21, 1991",Murray State
Vlatko Čančar,2020,2023,F,6-8,236.0,"April 10, 1997",
Devin Cannady,2021,2022,G,6-2,183.0,"May 21, 1996",Princeton
Clint Capela,2015,2024,C,6-10,240.0,"May 18, 1994",
Derrick Caracter,2011,2011,F,6-9,275.0,"May 4, 1988","Louisville, Texas-El Paso"
Brian Cardinal,2001,2012,F,6-8,245.0,"May 2, 1977",Purdue
Vernon Carey Jr.,2021,2023,C,6-9,270.0,"February 25, 2001",Duke
Rodney Carney,2007,2011,F,6-7,205.0,"April 15, 1984",Memphis
DeMarre Carroll,2010,2020,F,6-6,215.0,"July 27, 1986","Vanderbilt, Missouri"
Matt Carroll,2004,2013,G,6-6,212.0,"August 28, 1980",Notre Dame
Anthony Carter,2000,2012,G,6-1,190.0,"June 16, 1975",Hawaii
Jevon Carter,2019,2024,G,6-1,200.0,"September 14, 1995",West Virginia
Vince Carter,1999,2020,G-F,6-6,220.0,"January 26, 1977",UNC
Wendell Carter Jr.,2019,2024,C,6-10,270.0,"April 16, 1999",Duke
Michael Carter-Williams,2014,2023,G,6-5,190.0,"October 10, 1991",Syracuse
D.J. Carton,2024,2024,G,6-2,200.0,"August 5, 2000","Ohio State, Marquette"
Alex Caruso,2018,2024,G,6-5,186.0,"February 28, 1994",Texas A&M
Omri Casspi,2010,2019,F,6-9,225.0,"June 22, 1988",
Colin Castleton,2024,2024,F,6-11,250.0,"May 25, 2000","Michigan, Florida"
Willie Cauley-Stein,2016,2022,F-C,7-0,240.0,"August 18, 1993",Kentucky
Troy Caupain,2019,2019,G,6-4,210.0,"November 29, 1995",Cincinnati
Tyler Cavanaugh,2018,2019,F,6-9,238.0,"February 9, 1994",George Washington
Ahmad Caver,2022,2022,G,6-2,175.0,"September 12, 1996",Old Dominion
Malcolm Cazalon,2024,2024,G,6-6,212.0,"August 27, 2001",
Mario Chalmers,2009,2018,G,6-2,190.0,"May 19, 1986",Kansas
Julian Champagnie,2023,2024,F,6-8,220.0,"June 29, 2001",St. John's
Justin Champagnie,2022,2024,F,6-6,200.0,"June 29, 2001",Pitt
Kennedy Chandler,2023,2023,G,6-0,171.0,"September 16, 2002",Tennessee
Tyson Chandler,2002,2020,C,7-0,235.0,"October 2, 1982",
Wilson Chandler,2008,2020,F,6-8,235.0,"May 10, 1987",DePaul
Joe Chealey,2019,2020,G,6-3,190.0,"November 1, 1995",College of Charleston
Zylan Cheatham,2020,2022,F,6-5,220.0,"November 17, 1995","San Diego State, Arizona State"
Will Cherry,2015,2015,G,6-0,185.0,"February 8, 1991",Montana
Josh Childress,2005,2014,G-F,6-8,210.0,"June 20, 1983",Stanford
Chris Chiozza,2019,2022,G,5-11,175.0,"November 21, 1995",Florida
Marquese Chriss,2017,2022,F,6-9,240.0,"July 2, 1997",Washington
Max Christie,2023,2024,G,6-6,190.0,"February 10, 2003",Michigan State
Dionte Christmas,2014,2014,G,6-5,205.0,"September 15, 1986",Temple
Rakeem Christmas,2016,2017,F,6-9,250.0,"December 1, 1991",Syracuse
Semaj Christon,2017,2017,G,6-3,190.0,"November 1, 1992",Xavier
Josh Christopher,2022,2023,G,6-5,215.0,"December 8, 2001",Arizona State
Patrick Christopher,2015,2015,G-F,6-5,209.0,"June 3, 1988",California
Sidy Cissoko,2024,2024,G,6-8,200.0,"April 2, 2004",
Earl Clark,2010,2015,F,6-10,225.0,"January 17, 1988",Louisville
Gary Clark,2019,2022,F,6-6,225.0,"November 16, 1994",Cincinnati
Ian Clark,2014,2019,G,6-3,175.0,"March 7, 1991",Belmont
Brandon Clarke,2020,2024,F,6-8,215.0,"September 19, 1996","San Jose State, Gonzaga"
Coty Clarke,2016,2016,F,6-7,232.0,"July 4, 1992",Arkansas
Jordan Clarkson,2015,2024,G,6-3,194.0,"June 7, 1992","Tulsa, Missouri"
Gian Clavell,2018,2018,G,6-4,185.0,"November 26, 1993",Colorado State
Victor Claver,2013,2015,F,6-9,224.0,"August 30, 1988",
Nic Claxton,2020,2024,C,6-11,215.0,"April 17, 1999",Georgia
Chris Clemons,2020,2020,G,5-9,180.0,"July 23, 1997",Campbell
Antonius Cleveland,2018,2020,G,6-5,195.0,"February 2, 1994",SE Missouri State
Noah Clowney,2024,2024,F,6-10,210.0,"July 14, 2004",Alabama
Amir Coffey,2020,2024,G,6-7,210.0,"June 17, 1997",Minnesota
Norris Cole,2012,2017,G,6-2,175.0,"October 13, 1988",Cleveland State University
Jarron Collins,2002,2011,F-C,6-11,255.0,"December 2, 1978",Stanford
Jason Collins,2002,2014,C,7-0,255.0,"December 2, 1978",Stanford
John Collins,2018,2024,F,6-9,235.0,"September 23, 1997",Wake Forest
Sherron Collins,2011,2011,G,5-11,205.0,"March 18, 1987",Kansas
Zach Collins,2018,2024,C-F,6-11,250.0,"November 19, 1997",Gonzaga
Kyle Collinsworth,2018,2018,G-F,6-6,210.0,"October 3, 1991",BYU
Darren Collison,2010,2022,G,6-0,175.0,"August 23, 1987",UCLA
Nick Collison,2005,2018,F,6-10,255.0,"October 26, 1980",Kansas
Bonzie Colson,2019,2019,F,6-6,224.0,"January 12, 1996",Notre Dame
Chance Comanche,2023,2023,F-C,6-10,210.0,"April 14, 1996",Arizona
Mike Conley,2008,2024,G,6-0,175.0,"October 11, 1987",Ohio State
Pat Connaughton,2016,2024,G,6-5,209.0,"January 6, 1993",Notre Dame
Will Conroy,2007,2013,G,6-2,195.0,"December 8, 1982",Washington
Brian Cook,2004,2012,F,6-9,234.0,"December 4, 1980",Illinois
Daequan Cook,2008,2013,G,6-5,205.0,"April 28, 1987",Ohio State
Quinn Cook,2017,2021,G,6-1,180.0,"March 23, 1993",Duke
Tyler Cook,2020,2022,F,6-8,255.0,"September 23, 1997",Iowa
Charles Cooke,2018,2018,G,6-5,196.0,"July 1, 1994",Dayton
Xavier Cooks,2023,2023,F,6-8,183.0,"August 19, 1995",Winthrop University
Jack Cooley,2015,2018,F-C,6-9,260.0,"April 12, 1991",Notre Dame
Sharife Cooper,2022,2022,G,6-1,180.0,"June 11, 2001",Auburn
Chris Copeland,2013,2016,F,6-9,239.0,"March 17, 1984",Colorado
Petr Cornelie,2022,2022,F,6-11,220.0,"July 26, 1995",
Matt Costello,2018,2018,F,6-9,245.0,"August 5, 1993",Michigan State
Bryce Cotton,2015,2016,G,6-1,165.0,"August 11, 1992",Providence
Bilal Coulibaly,2024,2024,F,6-6,195.0,"July 26, 2004",
Ricky Council IV,2024,2024,G,6-6,205.0,"August 3, 2001","Wichita State, Arkansas"
Marcus Cousin,2011,2011,C,6-11,245.0,"December 18, 1986","Seton Hall, Houston"
DeMarcus Cousins,2011,2022,C-F,6-10,270.0,"August 13, 1990",Kentucky
Robert Covington,2014,2024,F-C,6-7,209.0,"December 14, 1990",Tennessee State
Allen Crabbe,2014,2020,G-F,6-5,212.0,"April 9, 1992",California
Torrey Craig,2018,2024,G-F,6-7,221.0,"December 19, 1990",USC Upstate
Jamal Crawford,2001,2020,G,6-5,185.0,"March 20, 1980",Michigan
Jordan Crawford,2011,2018,G,6-4,195.0,"October 23, 1988","Indiana, Xavier"
Mitch Creek,2019,2019,G,6-5,216.0,"April 27, 1992",
Jae Crowder,2013,2024,F,6-6,235.0,"July 6, 1990",Marquette
Jalen Crutcher,2024,2024,G,6-2,175.0,"July 18, 1999",Dayton
Jarrett Culver,2020,2023,G,6-6,195.0,"February 20, 1999",Texas Tech
Jarron Cumberland,2022,2022,G,6-5,205.0,"September 22, 1997",Cincinnati
Cade Cunningham,2022,2024,G,6-6,220.0,"September 25, 2001",Oklahoma State
Dante Cunningham,2010,2019,F,6-8,230.0,"April 22, 1987",Villanova
Jared Cunningham,2013,2016,G,6-4,195.0,"May 22, 1991",Oregon State
Eddy Curry,2002,2013,C,7-0,295.0,"December 5, 1982",
Seth Curry,2014,2024,G,6-1,185.0,"August 23, 1990","Liberty, Duke"
Stephen Curry,2010,2024,G,6-2,185.0,"March 14, 1988",Davidson
Samuel Dalembert,2002,2015,C,6-11,255.0,"May 10, 1981",Seton Hall
